@relation res

@attribute algs {(svm)_opt,(svm),(knn)_opt,(knn),(mnb)_opt,(mnb),(rf)_opt,(rf),(mlp)_opt,(mlp),(svm_knn_mnb)_w_opt,(svm_knn_mnb)_opt,(svm_knn_mnb)_w,(svm_knn_mnb),(svm_knn_rf)_w_opt,(svm_knn_rf)_opt,(svm_knn_rf)_w,(svm_knn_rf),(svm_knn_mlp)_w_opt,(svm_knn_mlp)_opt,(svm_knn_mlp)_w,(svm_knn_mlp),(svm_mnb_rf)_w_opt,(svm_mnb_rf)_opt,(svm_mnb_rf)_w,(svm_mnb_rf),(svm_mnb_mlp)_w_opt,(svm_mnb_mlp)_opt,(svm_mnb_mlp)_w,(svm_mnb_mlp),(svm_rf_mlp)_w_opt,(svm_rf_mlp)_opt,(svm_rf_mlp)_w,(svm_rf_mlp),(knn_mnb_rf)_w_opt,(knn_mnb_rf)_opt,(knn_mnb_rf)_w,(knn_mnb_rf),(knn_mnb_mlp)_w_opt,(knn_mnb_mlp)_opt,(knn_mnb_mlp)_w,(knn_mnb_mlp),(knn_rf_mlp)_w_opt,(knn_rf_mlp)_opt,(knn_rf_mlp)_w,(knn_rf_mlp),(mnb_rf_mlp)_w_opt,(mnb_rf_mlp)_opt,(mnb_rf_mlp)_w,(mnb_rf_mlp),(svm_knn_mnb_rf_mlp)_w_opt,(svm_knn_mnb_rf_mlp)_opt,(svm_knn_mnb_rf_mlp)_w,(svm_knn_mnb_rf_mlp)}
@attribute dataset {student,contraceptive,autism,bankruptcy,breast_cancer,horse,hr,english,phishing,wine,congress,covertype,kidney,amazon}
@attribute weighted {False,True}
@attribute optimized {True,False}
@attribute accuracy numeric
@attribute precision numeric
@attribute recall numeric
@attribute fscore numeric
@attribute cv_mean numeric
@attribute cv_std numeric
@attribute runtime numeric

@data
(svm)_opt,student,False,True,0.81,0.76,0.73,0.74,0.49,0.14,0.04
(svm),student,False,False,0.55,0.09,0.17,0.12,0.49,0.15,0.03
(knn)_opt,student,False,True,0.45,0.22,0.2,0.2,0.5,0.14,0.05
(knn),student,False,False,0.55,0.26,0.24,0.24,0.49,0.14,0.05
(mnb)_opt,student,False,True,0.52,0.14,0.18,0.14,0.48,0.16,0.01
(mnb),student,False,False,0.55,0.2,0.19,0.16,0.48,0.15,0.01
(rf)_opt,student,False,True,0.99,0.99,0.92,0.94,0.49,0.14,0.53
(rf),student,False,False,0.92,0.93,0.78,0.83,0.49,0.14,0.08
(mlp)_opt,student,False,True,0.65,0.53,0.35,0.39,0.49,0.15,0.38
(mlp),student,False,False,0.63,0.51,0.43,0.46,0.49,0.14,0.37
(svm_knn_mnb)_w_opt,student,True,True,0.65,0.55,0.36,0.41,0.51,0.15,0.14
(svm_knn_mnb)_opt,student,False,True,0.63,0.62,0.49,0.41,0.49,0.15,0.08
(svm_knn_mnb)_w,student,True,False,0.55,0.26,0.18,0.14,0.49,0.16,0.12
(svm_knn_mnb),student,False,False,0.51,0.08,0.17,0.11,0.48,0.15,0.07
(svm_knn_rf)_w_opt,student,True,True,0.9,0.92,0.77,0.82,0.5,0.16,0.92
(svm_knn_rf)_opt,student,False,True,0.9,0.84,0.83,0.82,0.48,0.15,0.6
(svm_knn_rf)_w,student,True,False,0.75,0.76,0.49,0.56,0.51,0.14,0.22
(svm_knn_rf),student,False,False,0.69,0.66,0.33,0.37,0.5,0.15,0.14
(svm_knn_mlp)_w_opt,student,True,True,0.79,0.71,0.66,0.67,0.5,0.15,1.21
(svm_knn_mlp)_opt,student,False,True,0.71,0.58,0.56,0.56,0.48,0.15,0.43
(svm_knn_mlp)_w,student,True,False,0.57,0.31,0.22,0.21,0.5,0.15,1.19
(svm_knn_mlp),student,False,False,0.62,0.26,0.24,0.22,0.49,0.14,0.43
(svm_mnb_rf)_w_opt,student,True,True,0.91,0.96,0.83,0.87,0.5,0.15,0.87
(svm_mnb_rf)_opt,student,False,True,0.86,0.75,0.71,0.72,0.5,0.14,0.57
(svm_mnb_rf)_w,student,True,False,0.57,0.38,0.25,0.23,0.49,0.16,0.17
(svm_mnb_rf),student,False,False,0.57,0.34,0.18,0.15,0.47,0.16,0.11
(svm_mnb_mlp)_w_opt,student,True,True,0.7,0.77,0.58,0.62,0.5,0.15,1.16
(svm_mnb_mlp)_opt,student,False,True,0.62,0.46,0.39,0.41,0.49,0.15,0.4
(svm_mnb_mlp)_w,student,True,False,0.57,0.1,0.17,0.12,0.49,0.17,1.15
(svm_mnb_mlp),student,False,False,0.59,0.1,0.16,0.12,0.49,0.14,0.38
(svm_rf_mlp)_w_opt,student,True,True,0.89,0.95,0.87,0.9,0.5,0.16,1.94
(svm_rf_mlp)_opt,student,False,True,0.92,0.91,0.83,0.85,0.48,0.15,0.92
(svm_rf_mlp)_w,student,True,False,0.79,0.86,0.63,0.71,0.5,0.15,1.24
(svm_rf_mlp),student,False,False,0.75,0.9,0.63,0.69,0.49,0.14,0.46
(knn_mnb_rf)_w_opt,student,True,True,0.73,0.71,0.45,0.51,0.5,0.15,0.86
(knn_mnb_rf)_opt,student,False,True,0.73,0.72,0.42,0.48,0.5,0.14,0.57
(knn_mnb_rf)_w,student,True,False,0.69,0.6,0.33,0.36,0.5,0.15,0.17
(knn_mnb_rf),student,False,False,0.61,0.8,0.42,0.46,0.5,0.13,0.12
(knn_mnb_mlp)_w_opt,student,True,True,0.62,0.42,0.26,0.28,0.52,0.14,1.15
(knn_mnb_mlp)_opt,student,False,True,0.62,0.4,0.31,0.33,0.49,0.14,0.41
(knn_mnb_mlp)_w,student,True,False,0.56,0.35,0.26,0.26,0.5,0.14,1.14
(knn_mnb_mlp),student,False,False,0.61,0.4,0.28,0.28,0.5,0.13,0.41
(knn_rf_mlp)_w_opt,student,True,True,0.84,0.86,0.67,0.72,0.51,0.14,1.93
(knn_rf_mlp)_opt,student,False,True,0.75,0.76,0.62,0.66,0.5,0.14,0.93
(knn_rf_mlp)_w,student,True,False,0.75,0.85,0.58,0.66,0.51,0.13,1.24
(knn_rf_mlp),student,False,False,0.75,0.67,0.45,0.48,0.47,0.15,0.48
(mnb_rf_mlp)_w_opt,student,True,True,0.8,0.9,0.66,0.72,0.5,0.15,1.89
(mnb_rf_mlp)_opt,student,False,True,0.8,0.85,0.7,0.75,0.49,0.13,0.9
(mnb_rf_mlp)_w,student,True,False,0.85,0.73,0.65,0.67,0.5,0.15,1.2
(mnb_rf_mlp),student,False,False,0.69,0.83,0.57,0.63,0.49,0.15,0.45
(svm_knn_mnb_rf_mlp)_w_opt,student,True,True,0.88,0.84,0.7,0.74,0.51,0.13,2.02
